label,label_awal,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
neutral,neutral,Fri Sep 22 23:33:59 +0000 2023,1705364853005902019,"Keseruan Bapak @erickthohir di IKN bersama Bapak Presiden @jokowi  Para menteri, artis, influenser, para pekerja konstruksi, dan masyarakat  #GueBarengErickThohir https://t.co/yqWpHGQiw1",0,0,0,0,in,713562482,1705364853005902019,cecengmuslih,https://twitter.com/cecengmuslih/status/1705364853005902019
neutral,neutral,Fri Sep 22 22:46:33 +0000 2023,1705352915320549774,"Presiden turut berharap kehadiran RS Abdi Waluyo di IKN dapat menjadi sebuah daya tarik bagi masyarakat tidak hanya di kawasan IKN, ... https://t.co/d3j0sAW26E",0,0,0,0,in,256888577,1705352915320549774,yuliakhmada,https://twitter.com/yuliakhmada/status/1705352915320549774
neutral,neutral,Fri Sep 22 20:47:06 +0000 2023,1705322852483043820,"@KompasTV Merdu kan bu?  Nah, rumahnya yg di pulau Jawa jualin saja semua, dan pindah ke IKN. Sekaligus ngasih contoh ke masyarakat, bahwa pejabatnya juga dengan senang hati tinggal di IKN 🤫",0,0,0,0,in,1538272718323232768,1705225759013621941,bakso_kanji,https://twitter.com/bakso_kanji/status/1705322852483043820
negative,negative,Fri Sep 22 20:05:35 +0000 2023,1705312405465833775,@KompasTV Kalau yang ngomong dari tahun 2012 sudah ngibul terus ..ya gua nggak bisa percaya deh hanya karena IKN maka PSSI bisa berjaya. tanpa IKN pun tentunya PSSI mampu berjaya..Rupanya kibulannya hanya untuk memikat masyarakat pecinta bola terhadap IKN,0,0,0,0,in,1338292963810557954,1704859638511133005,Andra89996910,https://twitter.com/Andra89996910/status/1705312405465833775
neutral,neutral,Fri Sep 22 18:01:58 +0000 2023,1705281298695332182,"Hadiri Malam Apresiasi Nusantara, Presiden: Terima Kasih Masyarakat dan Pekerja IKN https://t.co/tCerKQ0NIJ lewat @Liputan86",0,0,0,0,in,1510857676435374085,1705281298695332182,Liputan861,https://twitter.com/Liputan861/status/1705281298695332182
neutral,neutral,Fri Sep 22 17:08:05 +0000 2023,1705267736287510567,"@Alucard19689209 @registaco IKN susah bang buat diakalin,itu pak basuki bolak balik visit sama presiden ,proyek yang diperhatikan seluruh elemen pemerintah-masyarakat ini 🤣 dapet info kalo banyak yang gamau kerja di ikn ya salahsatunya proyeknya susah buat diakalin itu wkwk jadi kemungkinan hasilnya baguss",0,0,1,7,in,1114182997282922497,1705154121454714917,callawaydrivr,https://twitter.com/callawaydrivr/status/1705267736287510567
neutral,neutral,Fri Sep 22 15:44:18 +0000 2023,1705246652435746914,"Hadiri Pagelaran Musik di IKN, Presiden Jokowi Ucapkan Terima Kasih ke Masyarakat dan Pekerja https://t.co/qKogzSPB9n",0,0,0,2,in,71436318,1705246652435746914,KompasTV,https://twitter.com/KompasTV/status/1705246652435746914
negative,negative,Fri Sep 22 15:29:25 +0000 2023,1705242905324261544,@KompasTV apakah dengan selesainya IKN akan terdengar lagi suara serangga dan jangkrik yang merdu itu? yang ada suara jeritan hati masyarakat karena di huni oleh orang asing,0,0,0,0,in,1409368224622288900,1705225759013621941,matro_chan14,https://twitter.com/matro_chan14/status/1705242905324261544
neutral,neutral,Fri Sep 22 15:28:19 +0000 2023,1705242629372600669,"Hadiri Malam Apresiasi Nusantara, Presiden Jokowi: Terima Kasih Masyarakat dan Pekerja IKN  Ini akan kita pakai sebagai bahan dalam merencanakan peta jalan menuju Indonesia Maju 2045. Nanti yang menikmati yang muda-muda ini,"" tandasnya. https://t.co/mR9aeGuBTj https://t.co/PuIWPnVrR2""",0,0,0,1,in,992673313141899264,1705242629372600669,iina_surbakti,https://twitter.com/iina_surbakti/status/1705242629372600669
neutral,neutral,Fri Sep 22 14:42:04 +0000 2023,1705230988832612441,SEKDA PAPARKAN GAGASAN KOLABORASI PEMBERDAYAAN MASYARAKAT MENDUKUNG IKN https://t.co/3V1pubyRSh via @BeritaIrn https://t.co/lkMFOoBZ8m,0,0,0,0,in,1060418982061080576,1705230988832612441,beritairn1,https://twitter.com/beritairn1/status/1705230988832612441
negative,negative,Fri Sep 22 13:09:12 +0000 2023,1705207619726778485,@KompasTV Training center  diperbanyak di IKN sementara itu msh banyak masyarakat menengah dan bawah yg cukup makan 15-20hr saja dr gaji/upah mereka,0,0,0,0,in,379528748,1704859638511133005,dhianchakim,https://twitter.com/dhianchakim/status/1705207619726778485
negative,negative,Fri Sep 22 11:32:58 +0000 2023,1705183401249300920,"@QianzyZ Kok masyarakat kalimantan? Wong yg punya tanah disana itu adlh Tan Kang Hoo, Hashim J, Keluarga LBP, Yusril, dkk kok, knapa jd terima kasihnya ke Masyarakat Kalimantan? Ohhh... Mgk maksud kamu terima kasih kpd rakyat Kalimantan krn sdh mjd penonton &amp  pendukung IKN yg baik kali?",0,0,0,0,in,1339754306870726657,1705178876526330183,ansal1979,https://twitter.com/ansal1979/status/1705183401249300920
negative,negative,Fri Sep 22 10:47:08 +0000 2023,1705171867617972544,"@tvOneNews Bagian orang2 pemerintah melakukan tindakan represif dan arogan kepada masyarakat tp Presidennya seolah g tau apa2!! Mlh haha hihi di IKN, itupun keputusan sepihak pemerintah, mgkn orang2 sprti itu g takut sm Penciptanya, apasaja dilanggar demi mulusin kepentingannya!",0,0,0,0,in,1431503876214034432,1705100468303872409,EvilindaD,https://twitter.com/EvilindaD/status/1705171867617972544
neutral,neutral,Fri Sep 22 10:37:35 +0000 2023,1705169464365547713,"Jokowi sebut RS Abdi Waluyo di IKN tidak hanya akan melayani masyarakat umum. Tapi, akan dikembangkan ke arah sport medicine hingga sport research https://t.co/iiiQuVKLYW",0,2,2,2,in,23343960,1705169464365547713,kompascom,https://twitter.com/kompascom/status/1705169464365547713
neutral,neutral,Fri Sep 22 09:08:19 +0000 2023,1705146998238888105,"@DittoRadhitya @detikcom @DPR_RI @FPD_DPR @FPKSDPRRI @Fraksi_Gerindra @fraksigolkar @FraksiPKB @AJIIndonesia @antaranews @BBCIndonesia @BEMUI_Official @BEMFISIPUI @agusjabo333 @AnthonyBudiawan @ariexvamrompas @Dandhy_Laksono @elisa_jkt @emilsalim2010 @evimsofian @FaisalBasri @faridgaban @feriamsari @GreenpeaceID @idbaruid @mkusumawijaya @SeknasKPA @tempodotco @tvOneNews @UbedilahB @walhinasional @YLBHI @zainalamochtar Obral #IKN semakin menjadi-jadi.""  Menarik baca komentar warga masyarakat di bawah:  https://t.co/OhFPTZdCKT""",0,0,0,0,in,940211514664935424,1702563647241801833,ajegilelu1,https://twitter.com/ajegilelu1/status/1705146998238888105
negative,negative,Fri Sep 22 07:40:26 +0000 2023,1705124883272024252,"@jokowi Mengapa terkesan buru buru membangun IKN...Apakah itu tidak menelan biaya yang sangat banyak...Apa kah bapak tau masyarakat masih gundah mikirin hutang dan pangan ....di daerah saya banyak sekali yang mengeluh tentang ekonomi,,bahkan banyak yang ingin merantau jadi TKI..",0,0,0,1,in,1454813666457505801,1705049742668161064,gadoel01,https://twitter.com/gadoel01/status/1705124883272024252
neutral,neutral,Fri Sep 22 06:40:57 +0000 2023,1705109915621343348,1705109915621343348,0,0,0,3,in,1286557775670042625,1705051895197466711,Fadlipenyair,https://twitter.com/Fadlipenyair/status/1705109915621343348
positive,positive,Fri Sep 22 06:31:30 +0000 2023,1705107535060255055,"dengan caption, Senang sekali bisa mengunjungi Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur bersama Menteri PUPR @basuki_hadimuljono! Semoga pembangunan IKN dapat memberikan manfaat yang besar bagi masyarakat Indonesia. Teruslah bekerja""",0,0,0,0,in,1682213817659580416,1705107535060255055,viviliaaaaa,https://twitter.com/viviliaaaaa/status/1705107535060255055
neutral,neutral,Fri Sep 22 06:29:20 +0000 2023,1705106988630409418,sedang dibangun di area IKN Nusantara. Semoga pembangunan ini dapat memberikan manfaat yang besar bagi masyarakat dan kemajuan negara kita. #PresidenJokowi #IKN #PembangunanInfrastruktur,0,0,0,0,in,1683537005509214208,1705106988630409418,fabril_zulhevi,https://twitter.com/fabril_zulhevi/status/1705106988630409418
positive,positive,Fri Sep 22 06:29:03 +0000 2023,1705106917788615149,santai dan semangat dalam memimpin pembangunan IKN. Semoga proyek ini dapat memberikan manfaat yang besar bagi masyarakat Indonesia. #IKN #PembangunanNusantara,0,0,0,0,in,1682658118428430336,1705106917788615149,__arsyarihla,https://twitter.com/__arsyarihla/status/1705106917788615149
neutral,neutral,Fri Sep 22 06:17:36 +0000 2023,1705104038524809328,"dengan caption, Senang sekali bisa mengunjungi Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur bersama Menteri PUPR @hadimuljono. Semoga pembangunan IKN dapat berjalan lancar dan memberikan manfaat besar bagi masyarakat Indonesia. #IKN #KalimantanTimur #PembangunanNasional""",0,0,0,0,in,1681160093746843650,1705104038524809328,irfanefendi91,https://twitter.com/irfanefendi91/status/1705104038524809328
positive,positive,Fri Sep 22 06:09:56 +0000 2023,1705102108511604774,"Mau deh ke IKN bole gasi kalo masyarakat kesono untuk liat aja?  https://t.co/kC7vmXl5um""",0,0,0,0,in,586625460,1705102108511604774,kolleenaaa,https://twitter.com/kolleenaaa/status/1705102108511604774
