id,kodeunit,namaunit,bulan,jumlah,tahun,created_at
1.0,10100.0,Fakultas Kedokteran,1900-01-01,754605000.0,2019-01-01,2023-09-18 10:27:15.015554
2.0,10100.0,Fakultas Kedokteran,1900-02-01,1104460458.0,2019-01-01,2023-09-18 10:27:15.528691
3.0,10100.0,Fakultas Kedokteran,1900-03-01,1517801846.0,2019-01-01,2023-09-18 10:27:15.56851
4.0,10100.0,Fakultas Kedokteran,1900-04-01,2848079092.0,2019-01-01,2023-09-18 10:27:15.627334
5.0,10100.0,Fakultas Kedokteran,1900-05-01,4274828615.0,2019-01-01,2023-09-18 10:27:15.81044
6.0,10100.0,Fakultas Kedokteran,1900-06-01,2622097506.0,2019-01-01,2023-09-18 10:27:15.86934
7.0,10100.0,Fakultas Kedokteran,1900-07-01,3567239415.0,2019-01-01,2023-09-18 10:27:15.936201
8.0,10100.0,Fakultas Kedokteran,1900-08-01,1621870787.0,2019-01-01,2023-09-18 10:27:16.007311
9.0,10100.0,Fakultas Kedokteran,1900-09-01,4486474601.0,2019-01-01,2023-09-18 10:27:16.069604
10.0,10100.0,Fakultas Kedokteran,1900-10-01,3625313867.0,2019-01-01,2023-09-18 10:27:16.144361
11.0,10100.0,Fakultas Kedokteran,1900-11-01,6485544906.0,2019-01-01,2023-09-18 10:27:16.261831
12.0,10100.0,Fakultas Kedokteran,1900-12-01,15980584965.0,2019-01-01,2023-09-18 10:27:16.345709
13.0,10200.0,Fakultas Kedokteran Gigi,1900-01-01,244661148.0,2019-01-01,2023-09-18 10:27:16.40806
14.0,10200.0,Fakultas Kedokteran Gigi,1900-02-01,838497785.0,2019-01-01,2023-09-18 10:27:16.462477
15.0,10200.0,Fakultas Kedokteran Gigi,1900-03-01,1094738797.0,2019-01-01,2023-09-18 10:27:16.528349
16.0,10200.0,Fakultas Kedokteran Gigi,1900-04-01,771951972.0,2019-01-01,2023-09-18 10:27:16.603558
17.0,10200.0,Fakultas Kedokteran Gigi,1900-05-01,2572971691.0,2019-01-01,2023-09-18 10:27:16.728722
18.0,10200.0,Fakultas Kedokteran Gigi,1900-06-01,1914847946.0,2019-01-01,2023-09-18 10:27:16.79531
19.0,10200.0,Fakultas Kedokteran Gigi,1900-07-01,1381364989.0,2019-01-01,2023-09-18 10:27:16.862056
20.0,10200.0,Fakultas Kedokteran Gigi,1900-08-01,960893249.0,2019-01-01,2023-09-18 10:27:16.928991
21.0,10200.0,Fakultas Kedokteran Gigi,1900-09-01,1643076266.0,2019-01-01,2023-09-18 10:27:16.995794
22.0,10200.0,Fakultas Kedokteran Gigi,1900-10-01,2018658851.0,2019-01-01,2023-09-18 10:27:17.06242
23.0,10200.0,Fakultas Kedokteran Gigi,1900-11-01,2002655396.0,2019-01-01,2023-09-18 10:27:17.112302
24.0,10200.0,Fakultas Kedokteran Gigi,1900-12-01,4032909701.0,2019-01-01,2023-09-18 10:27:17.179374
25.0,10300.0,Fakultas Hukum,1900-01-01,446825898.0,2019-01-01,2023-09-18 10:27:17.312659
26.0,10300.0,Fakultas Hukum,1900-02-01,655011329.0,2019-01-01,2023-09-18 10:27:17.379305
27.0,10300.0,Fakultas Hukum,1900-03-01,1012488896.0,2019-01-01,2023-09-18 10:27:17.455035
28.0,10300.0,Fakultas Hukum,1900-04-01,918987991.0,2019-01-01,2023-09-18 10:27:17.56307
29.0,10300.0,Fakultas Hukum,1900-05-01,2173620912.0,2019-01-01,2023-09-18 10:27:17.596516
30.0,10300.0,Fakultas Hukum,1900-06-01,685580810.0,2019-01-01,2023-09-18 10:27:17.646506
31.0,10300.0,Fakultas Hukum,1900-07-01,1585640679.0,2019-01-01,2023-09-18 10:27:17.80488
32.0,10300.0,Fakultas Hukum,1900-08-01,996821316.0,2019-01-01,2023-09-18 10:27:17.93847
33.0,10300.0,Fakultas Hukum,1900-09-01,1033776112.0,2019-01-01,2023-09-18 10:27:18.005081
34.0,10300.0,Fakultas Hukum,1900-10-01,1260931615.0,2019-01-01,2023-09-18 10:27:18.072424
35.0,10300.0,Fakultas Hukum,1900-11-01,1652449386.0,2019-01-01,2023-09-18 10:27:18.138821
36.0,10300.0,Fakultas Hukum,1900-12-01,3730818374.0,2019-01-01,2023-09-18 10:27:18.205412
37.0,10400.0,Fakultas Ekonomi dan Bisnis,1900-01-01,423245952.0,2019-01-01,2023-09-18 10:27:18.272114
38.0,10400.0,Fakultas Ekonomi dan Bisnis,1900-02-01,1602303669.0,2019-01-01,2023-09-18 10:27:18.338945
39.0,10400.0,Fakultas Ekonomi dan Bisnis,1900-03-01,1205803256.0,2019-01-01,2023-09-18 10:27:18.392811
40.0,10400.0,Fakultas Ekonomi dan Bisnis,1900-04-01,2427286182.0,2019-01-01,2023-09-18 10:27:18.422292
